SOrg.	DChl	Material	Material Number	Clt	MTyp	EAN/UPC	Plnt
101	10	000000000000009284	WE'LL MEET AGAIN (DVD) OTH	X	ZDVD	6004416059038	111
101	11	000000000000009284	WE'LL MEET AGAIN (DVD) OTH	X	ZDVD	6004416059038	111
101	10	000000000000009285	MIRACLE DOGS (DVD)OTH	X	ZDVD	6004416061635	111
101	11	000000000000009285	MIRACLE DOGS (DVD)OTH	X	ZDVD	6004416061635	111
101	10	000000000000009287	INTERMISSION (DVD)OTH	X	ZDVD	6004416059120	111
101	11	000000000000009287	INTERMISSION (DVD)OTH	X	ZDVD	6004416059120	111
101	10	000000000000009296	CABIN FEVER (DVD) OTH	X	ZDVD	6004416059540	111
101	11	000000000000009296	CABIN FEVER (DVD) OTH	X	ZDVD	6004416059540	111
101	10	000000000000009315	TERROR , THE (DVD) OTH	X	ZDVD	6004416089103	111
101	11	000000000000009315	TERROR , THE (DVD) OTH	X	ZDVD	6004416089103	111
101	10	000000000000009320	LIFE WITH FATHER (DVD) OTH	X	ZDVD	6004416087123	111
101	11	000000000000009320	LIFE WITH FATHER (DVD) OTH	X	ZDVD	6004416087123	111
101	11	000000000000008550	RECRUIT ,THE (DVD) OTH		ZDVD	6004416050509	111
101	10	000000000000008550	RECRUIT ,THE (DVD) OTH		ZDVD	6004416050509	111
101	11	000000000000008549	COASTLINES (DVD) OTH	X	ZDVD	6004416050493	111
101	10	000000000000008549	COASTLINES (DVD) OTH	X	ZDVD	6004416050493	111
101	11	000000000000008547	CLUBHSE DETECTIVES:BIG TROUBLE (DVD) OTH		ZDVD	6004416050431	111
101	10	000000000000008547	CLUBHSE DETECTIVES:BIG TROUBLE (DVD) OTH		ZDVD	6004416050431	111
101	11	000000000000008546	PIANIST ,THE(DVD) OTH	X	ZDVD	6004416050424	111
101	10	000000000000008546	PIANIST ,THE(DVD) OTH	X	ZDVD	6004416050424	111
101	11	000000000000008545	CHICAGO(DVD) OTH	X	ZDVD	6004416050387	111
101	10	000000000000008545	CHICAGO(DVD) OTH	X	ZDVD	6004416050387	111
101	11	000000000000008485	HORROR IN THE ATTIC (DVD) OTH	X	ZDVD	6004416048902	111
101	10	000000000000008485	HORROR IN THE ATTIC (DVD) OTH	X	ZDVD	6004416048902	111
101	11	000000000000008468	CLUBHSE DETECTIVE SCAVENGER HUNT(DVD)OTH	X	ZDVD	6004416048865	111
101	10	000000000000008468	CLUBHSE DETECTIVE SCAVENGER HUNT(DVD)OTH	X	ZDVD	6004416048865	111
101	11	000000000000008462	BELOW (DVD) OTH	X	ZDVD	6004416048834	111
101	10	000000000000008462	BELOW (DVD) OTH	X	ZDVD	6004416048834	111
101	11	000000000000008461	TADPOLE (DVD) OTH	X	ZDVD	6004416048827	111
101	10	000000000000008461	TADPOLE (DVD) OTH	X	ZDVD	6004416048827	111
101	11	000000000000008460	SPY KIDS 2 (DVD) OTH	X	ZDVD	6004416048810	111
101	10	000000000000008460	SPY KIDS 2 (DVD) OTH	X	ZDVD	6004416048810	111
101	11	000000000000008434	MIDNIGHT MASS (DVD) OTH	X	ZDVD	6004416048803	111
101	10	000000000000008434	MIDNIGHT MASS (DVD) OTH	X	ZDVD	6004416048803	111
101	11	000000000000008429	FAR FROM HEAVEN (DVD) OTH	X	ZDVD	6004416050608	111
101	10	000000000000008429	FAR FROM HEAVEN (DVD) OTH	X	ZDVD	6004416050608	111
101	11	000000000000008427	MY LIFE WITHOUT ME (DVD) OTH	X	ZDVD	6004416058840	111
101	10	000000000000008427	MY LIFE WITHOUT ME (DVD) OTH	X	ZDVD	6004416058840	111
101	11	000000000000008424	UNDERWORLD (DVD) OTH	X	ZDVD	6004416056082	111
101	10	000000000000008424	UNDERWORLD (DVD) OTH	X	ZDVD	6004416056082	111
101	11	000000000000008423	LOST IN TRANSLATION (DVD) OTH	X	ZDVD	6004416056488	111
101	10	000000000000008423	LOST IN TRANSLATION (DVD) OTH	X	ZDVD	6004416056488	111
101	11	000000000000008421	GUYS, THE (DVD) OTH	X	ZDVD	6004416053777	111
101	10	000000000000008421	GUYS, THE (DVD) OTH	X	ZDVD	6004416053777	111
101	11	000000000000008418	21 GRAMS (DVD) OTH	X	ZDVD	6004416056938	111
101	10	000000000000008418	21 GRAMS (DVD) OTH	X	ZDVD	6004416056938	111
101	11	000000000000008412	REIGN OF FIRE (DVD) OTH		ZDVD	6004416048742	111
101	10	000000000000008412	REIGN OF FIRE (DVD) OTH		ZDVD	6004416048742	111
101	11	000000000000008362	ASH WEDNESDAY (DVD) OTH	X	ZDVD	6004416048698	111
101	10	000000000000008362	ASH WEDNESDAY (DVD) OTH	X	ZDVD	6004416048698	111
101	10	000000000000008361	PURPOSE (DVD) OTH	X	ZDVD	6004416048681	111
101	11	000000000000008306	FOREIGNER, THE (DVD) SPHE	X	ZDVD	5035822339057	111
101	10	000000000000008306	FOREIGNER, THE (DVD) SPHE	X	ZDVD	5035822339057	111
101	11	000000000000008272	HALLOWEEN :RESURRECTION (DVD) OTH	X	ZDVD	6004416048650	111
101	10	000000000000008272	HALLOWEEN :RESURRECTION (DVD) OTH	X	ZDVD	6004416048650	111
101	11	000000000000008261	SESSION 9(DVD) OTH	X	ZDVD	6004416048643	111
101	10	000000000000008261	SESSION 9(DVD) OTH	X	ZDVD	6004416048643	111
101	11	000000000000008260	MY BIG FAT GREEK WEDDING (DVD)OTH	X	ZDVD	6004416048636	111
101	10	000000000000008260	MY BIG FAT GREEK WEDDING (DVD)OTH	X	ZDVD	6004416048636	111
101	11	000000000000008258	INSOMNIA (DVD) OTH	X	ZDVD	6004416048612	111
101	10	000000000000008258	INSOMNIA (DVD) OTH	X	ZDVD	6004416048612	111
101	11	000000000000008232	FLASHBACK (DVD)OTH	X	ZDVD	6004416047059	111
101	10	000000000000008232	FLASHBACK (DVD)OTH	X	ZDVD	6004416047059	111
101	11	000000000000008231	SUPERFIRE (DVD)OTH	X	ZDVD	6004416047042	111
101	10	000000000000008231	SUPERFIRE (DVD)OTH	X	ZDVD	6004416047042	111
101	11	000000000000008230	XXX (DVD)-SPHE	X	ZDVD	5035822339859	111
101	10	000000000000008230	XXX (DVD)-SPHE	X	ZDVD	5035822339859	111
101	11	000000000000008215	TEXAS RANGERS (DVD)OTH	X	ZDVD	6004416048568	111
101	10	000000000000008215	TEXAS RANGERS (DVD)OTH	X	ZDVD	6004416048568	111
